Year,Month,Day,Holiday
2019,1,1,New Year's Day
2019,1,21,Martin Luther King Jr. Day
2019,2,18,Presidents' Day
2019,5,27,Memorial Day
2019,7,4,Independence Day
2019,9,2,Labor Day
2019,10,14,Columbus Day
2019,11,11,Veterans Day
2019,11,28,Thanksgiving Day
2019,12,25,Christmas Day
2020,1,1,New Year's Day
2020,1,20,Martin Luther King Jr. Day
2020,2,17,Presidents' Day
2020,5,25,Memorial Day
2020,7,4,Independence Day
2020,9,7,Labor Day
2020,10,12,Columbus Day
2020,11,11,Veterans Day
2020,11,26,Thanksgiving Day
2020,12,25,Christmas Day
2021,1,1,New Year's Day
2021,1,18,Martin Luther King Jr. Day
2021,2,15,Presidents' Day
2021,5,31,Memorial Day
2021,7,4,Independence Day
2021,9,6,Labor Day
2021,10,11,Columbus Day
2021,11,11,Veterans Day
2021,11,25,Thanksgiving Day
2021,12,25,Christmas Day
2022,1,1,New Year's Day
2022,1,17,Martin Luther King Jr. Day
2022,2,21,Presidents' Day
2022,5,30,Memorial Day
2022,7,4,Independence Day
2022,9,5,Labor Day
2022,10,10,Columbus Day
2022,11,11,Veterans Day
2022,11,24,Thanksgiving Day
2022,12,25,Christmas Day
2023,1,1,New Year's Day
2023,1,16,Martin Luther King Jr. Day
2023,2,20,Presidents' Day
2023,5,29,Memorial Day
2023,7,4,Independence Day
2023,9,4,Labor Day
2023,10,9,Columbus Day
2023,11,11,Veterans Day
2023,11,23,Thanksgiving Day
2023,12,25,Christmas Day
